"the race is on second private team sets launch date for human spaceflight \( space com \) , space com toronto , canada a second team of rocketeers competing for the 36 10 million ansari x prize , a contest for privately funded suborbital space flight , has officially announced the first launch date for its manned rocket",0
"ky company wins grant to study peptides \( ap \) , ap a company founded by a chemistry researcher at the university of louisville won a grant to develop a method of producing better peptides , which are short chains of amino acids , the building blocks of proteins",0
"prediction unit helps forecast wildfires \( ap \) , ap it 's barely dawn when mike fitzpatrick starts his shift with a blur of colorful maps , figures and endless charts , but already he knows what the day will bring lightning will strike in places he expects winds will pick up , moist places will dry and flames will roar",0
"calif aims to limit farm related smog \( ap \) , ap southern california 's smog fighting agency went after emissions of the bovine variety friday , adopting the nation 's first rules to reduce air pollution from dairy cow manure",0
"open letter against british copyright indoctrination in schools , the british department for education and skills \( dfes \) recently launched a music manifesto campaign , with the ostensible intention of educating the next generation of british musicians unfortunately , they also teamed up with the music industry \( emi , and various artists \) to make this popular emi has apparently negotiated their end well , so that children in our schools will now be indoctrinated about the illegality of downloading music the ignorance and audacity of this got to me a little , so i wrote an open letter to the dfes about it unfortunately , it 's pedantic , as i suppose you have to be when writing to goverment representatives but i hope you find it useful , and perhaps feel inspired to do something similar , if or when the same thing has happened in your area",0
"loosing the war on terrorism , sven jaschan , self confessed author of the netsky and sasser viruses , is responsible for 70 percent of virus infections in 2004 , according to a six month virus roundup published wednesday by antivirus company sophos the 18 year old jaschan was taken into custody in germany in may by police who said he had admitted programming both the netsky and sasser worms , something experts at microsoft confirmed \( a microsoft antivirus reward program led to the teenager 's arrest \) during the five months preceding jaschan 's capture , there were at least 25 variants of netsky and one of the port scanning network worm sasser graham cluley , senior technology consultant at sophos , said it was staggeri",0
"foafkey foaf , pgp , key distribution , and bloom filters , foaf loaf and bloom filters have a lot of interesting properties for social network and whitelist distribution i think we can go one level higher though and include gpg openpgp key fingerpring distribution in the foaf file for simple web of trust based key distribution what if we used foaf and included the pgp key fingerprint \( s \) for identities \? this could mean a lot you include the pgp key fingerprints within the foaf file of your direct friends and then include a bloom filter of the pgp key fingerprints of your entire whitelist \( the source foaf file would of course need to be encrypted \) your whitelist would be populated from the social network as your client discovered new identit",0
"e mail scam targets police chief , wiltshire police warns about phishing after its fraud squad chief was targeted",3
"card fraud unit nets 36 , 000 cards , in its first two years , the uk 's dedicated card fraud unit , has recovered 36 , 000 stolen cards and 171 arrests and estimates it saved 65m",0
"group to propose new high speed wireless format , los angeles \( reuters \) a group of technology companies including texas instruments inc lt txn n gt , stmicroelectronics lt stm pa gt and broadcom corp lt brcm o gt , on thursday said they will propose a new wireless networking standard up to 10 times the speed of the current generation",0
"apple launches graphics software , video bundle , los angeles \( reuters \) apple computer inc lt aapl o gt on tuesday began shipping a new program designed to let users create real time motion graphics and unveiled a discount video editing software bundle featuring its flagship final cut pro software",0
"dutch retailer beats apple to local download market , amsterdam \( reuters \) free record shop , a dutch music retail chain , beat apple computer inc to market on tuesday with the launch of a new download service in europe 's latest battleground for digital song services",0
"super ant colony hits australia , a giant 100km colony of ants which has been discovered in melbourne , australia , could threaten local insect species",0
"socialites unite dolphin groups , dolphin groups , or pods , rely on socialites to keep them from collapsing , scientists claim",0
"teenage t rex 's monster growth , tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years",0
"scientists discover ganymede has a lumpy interior , jet propulsion lab scientists have discovered irregular lumps beneath the icy surface of jupiter 's largest moon , ganymede these irregular masses may be rock formations , supported by ganymede 's icy shell for billions of years",0
"mars rovers relay images through mars express , european space agency esas mars express has relayed pictures from one of nasa 's mars rovers for the first time , as part of a set of interplanetary networking demonstrations the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities",0
"rocking the cradle of life , when did life begin \? one evidential clue stems from the fossil records in western australia , although whether these layered sediments are biological or chemical has spawned a spirited debate oxford researcher , nicola mcloughlin , describes some of the issues in contention",3
"storage , servers bruise hp earnings , update earnings per share rise compared with a year ago , but company misses analysts' expectations by a long shot",0
"ibm to hire even more new workers , by the end of the year , the computing giant plans to have its biggest headcount since 1991",1
"sun 's looking glass provides 3d view , developers get early code for new operating system 'skin' still being crafted",0
"ibm chips may someday heal themselves , new technology applies electrical fuses to help identify and repair faults",0
"some people not eligible to get in on google ipo , google has billed its ipo as a way for everyday people to get in on the process , denying wall street the usual stranglehold it 's had on ipos public bidding , a minimum of just five shares , an open process with 28 underwriters all this pointed to a new level of public participation but this is n't the case",1
"rivals try to turn tables on charles schwab , by michael liedtke san francisco \( ap \) with its low prices and iconoclastic attitude , discount stock broker charles schwab corp \( sch \) represented an annoying stone in wall street 's wing tipped shoes for decades",1
"news sluggish movement on power grid cyber security , industry cyber security standards fail to reach some of the most vulnerable components of the power grid",0
"spam suspension hits sohu com shares \( ft com \) , ft com shares in sohu com , a leading us listed chinese internet portal , fell more than 10 per cent on friday after china 's biggest mobile phone network operator imposed a one year suspension on its multimedia messaging services because of customers being sent spam",0
"dell exits low end china consumer pc market , hong kong \( reuters \) dell inc lt dell o gt , the world 's largest pc maker , said on monday it has left the low end consumer pc market in china and cut its overall growth target for the country this year due to stiff competition in the segment",0
"vodafone hires citi for cesky bid \( thedeal com \) , thedeal com the u k mobile giant wants to find a way to disentagle the czech wireless and fixed line businesses",0
"promoting a shared vision , as michael kaleko kept running into people who were getting older and having more vision problems , he realized he could do something about it",2
"oracle overhauls sales side apps for crm suite \( newsfactor \) , newsfactor oracle \( nasdaq orcl \) has revamped its sales side crm applications in version 11i 10 of its sales , marketing , partner relationship management and e commerce application",0
